"ケースID","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"11","11#","入力_連絡先番号_携帯確認: はい","通話完了","連絡先番号_確認 OK→電話番号_判定② / Scripts-個人→個人完走","電話番号 携帯確認=はい → 連絡先番号_確認 OK → 電話番号_判定②（既定経路の明示確認）","","PASS","2026-06-16実機PASS。連絡先番号_携帯確認=はい→連絡先番号_確認:OK→電話番号_判定②:MOBILE→通常→通話完了"
"12","12#","入力_連絡先番号_携帯確認: いいえ / 入力_連絡先番号: 09012345678 / 入力_復唱_電話番号: はい","通話完了","連絡先番号_確認 NG→連絡先番号 / 入力_連絡先番号(DTMF)→Scripts-電話番号 / OpenAI_復唱_電話番号 OK→電話番号_判定②","電話番号 携帯確認=いいえ → 連絡先番号_確認 NG → DTMF再入力 → 復唱OK","","FAIL(既存フローバグ)","2026-06-16 既存バグ検出(移管起因でない)。携帯確認=いいえ→連絡先番号_確認:NG→DTMF再入力09012345678→Scripts-電話番号:NG×3→リトライ枯渇→電話番号_判定②へ素通り→通話完了。原因=Scripts-電話番号(素Script・変換対象外)が連絡先番号_確認の古いNG結果(r2)を優先参照しDTMF(r1)を無視。別番号入力経路が原flowで実質不全。復唱_電話番号ルート未到達=要別ケース(着信分類=固定経由)"
"13","13#","入力_用件: 健診の予約 / 入力_希望コース: NO_RESULT→日帰りコース","通話完了","OpenAI_希望コース NO_RESULT→save-不明→リトライ_受診内容② / 2回目=日帰りコース→追加オプション","予約: 希望コース NO_RESULT→リトライ復帰（OpenAI_希望コース NO_RESULT/save-不明）","","PASS","2026-06-16実機PASS。入力_希望コースNO_RESULT→リトライ_受診内容②true→2回目日帰りコース→OpenAI_希望コース:人間ドック→通常→通話完了"
"14","14#","入力_用件: 健診の予約 / 入力_追加オプション: NO_RESULT→オプションはありません","通話完了","入力_追加オプション NO_RESULT→save-不明③→リトライ_追加オプション / 2回目→入力_VALID VALID→希望日程","予約: 追加オプション NO_RESULT→リトライ復帰（入力_VALID NO_RESULT/save-不明③）","","PASS","2026-06-16実機PASS。入力_追加オプションNO_RESULT→save-不明③→リトライ_追加オプションtrue→2回目→入力_VALID→希望日程→通話完了"
"15","15#","入力_用件: 健診の予約 / 入力_希望日程: NO_RESULT→10月1日","通話完了","OpenAI_希望日程 NO_RESULT→save-不明②→リトライ_希望日程 / 2回目=10月1日→予約完走","予約: 希望日程 NO_RESULT→リトライ復帰（OpenAI_希望日程 NO_RESULT/save-不明②）","","PASS","2026-06-16実機PASS。入力_希望日程NO_RESULT→リトライ_希望日程true→2回目10月1日→OpenAI_希望日程:10月1日→通話完了"
"16","16#","入力_用件: 予約の変更 / 入力_現在の予約日: 10月1日 / 入力_変更内容①: 日付を変更したいです","通話完了","OpenAI_現在の予約日→日付正規化→変更内容① / OpenAI_入力_変更内容① VALID→完走","変更: 現在の予約日(日付)→変更内容①(VALID) 正常完走","","PASS","2026-06-16実機PASS。用件=予約の変更→分岐2→現在の予約日10月1日(OpenAI:2024-10-01)→変更内容①VALID→終話_分岐2→通話完了。※年2024"
"17","17#","入力_用件: 予約の変更 / 入力_現在の予約日: NO_RESULT→10月1日","通話完了","OpenAI_現在の予約日 NO_RESULT→save-不明→リトライ_現在の予約日 / 2回目=10月1日","変更: 現在の予約日 NO_RESULT→リトライ復帰（save-不明）","","PASS","2026-06-16実機PASS。入力_現在の予約日NO_RESULT→リトライ_現在の予約日true→2回目10月1日(2024-10-01)→変更内容①VALID→通話完了。※年2024"
"18","18#","入力_用件: 予約の変更 / 入力_現在の予約日: わかりません→10月1日","通話完了","OpenAI_現在の予約日 非日付出力→リトライ_現在の予約日 / 2回目=10月1日→変更内容①","変更: 現在の予約日=非日付→正規表現外れ→リトライ（^(?!日付)$ ブランチ）","","PASS","2026-06-16実機PASS。現在の予約日=「わかりません」→OpenAI:分からない→リトライtrue→2回目10月1日(2024-10-01)→変更内容①VALID→通話完了。非日付ブランチ正常"
"19","19#","入力_用件: 予約の変更 / 入力_現在の予約日: 10月1日 / 入力_変更内容①: NO_RESULT→日付を変更したいです","通話完了","入力_変更内容① NO_RESULT→save-不明②→リトライ_変更内容① / 2回目→VALID完走","変更: 変更内容① NO_RESULT→リトライ復帰（save-不明②）","","PASS","2026-06-16実機PASS。変更内容①NO_RESULT→save-不明②→リトライtrue→2回目VALID→通話完了"
"20","20#","入力_用件: 予約のキャンセル / 入力_確認_現在の予約日: 10月1日 / 入力_確認_キャンセル理由: 都合が悪くなったため","通話完了","openAI_確認_現在の予約日→確認_キャンセル理由 / openAI_確認_キャンセル理由 ノイズ除去→完走","キャンセル: 現在の予約日(日付)→キャンセル理由 正常完走","","PASS","2026-06-16実機PASS。用件=予約のキャンセル→確認_現在の予約日(2024-10-01)→キャンセル理由ノイズ除去→終話_分岐3→status-終話④→通話完了"
"21","21#","入力_用件: 予約のキャンセル / 入力_確認_現在の予約日: NO_RESULT→10月1日","通話完了","openAI_確認_現在の予約日 NO_RESULT→save-不明→リトライ / 2回目=10月1日","キャンセル: 確認_現在の予約日 NO_RESULT→リトライ復帰（save-不明）","","PASS","2026-06-16実機PASS。確認_現在の予約日NO_RESULT→リトライtrue→2回目10月1日→キャンセル理由→通話完了"
"22","22#","入力_用件: 予約のキャンセル / 入力_確認_キャンセル理由: NO_RESULT→都合が悪くなったため","通話完了","openAI_確認_キャンセル理由 NO_RESULT→save-不明③→リトライ / 2回目で復帰","キャンセル: キャンセル理由 NO_RESULT→リトライ復帰（save-不明③）","","PASS","2026-06-16実機PASS。確認_キャンセル理由NO_RESULT→リトライ_確認_キャンセル理由true→2回目→通話完了"
"23","23#","入力_用件: その他お問い合わせ / 入力_最後の問い合わせ_携帯以外: 駐車場はありますか","通話完了","OpenAI_問い合わせ内容判定 要対応→FAQ_モジュール(RAG) / Scripts-FAQ成功→問い合わせ完走","FAQ: 最後の問い合わせ=質問あり → 要対応 → RAG（FAQ_モジュール）","","PASS","2026-06-16実機PASS。FAQ要対応→FAQ_モジュール(RAG)実回答「当院では無料で、駐車場をご利用いただけます。」→問い合わせ_分岐1→status-終話③→通話完了。RAG動作確認"
"24","24#","入力_用件: その他お問い合わせ / 入力_最後の問い合わせ_携帯以外: 特にありません","通話完了","OpenAI_問い合わせ内容判定 対応不要→Scripts-問い合わせ / save-問い合わせ内容→完走","FAQ: 最後の問い合わせ=質問なし → 対応不要 → Scripts-問い合わせ","","PASS","2026-06-16実機PASS。FAQ対応不要→Scripts-問い合わせ→問い合わせ_分岐0→通話完了"
"25","25#","入力_用件: その他お問い合わせ / 入力_最後の問い合わせ_携帯以外: NO_RESULT→特にありません","通話完了","OpenAI_問い合わせ内容判定 NO_RESULT→リトライ_最後の問い合わせ_携帯以外 / 2回目で復帰","FAQ: 最後の問い合わせ NO_RESULT→リトライ復帰","","PASS","2026-06-16実機PASS。最後の問い合わせNO_RESULT→リトライtrue→2回目特にありません→対応不要→通話完了"
"26","26#","着信電話番号_判定: 非通知","時間外切断","着信電話番号_判定 ^非通知$→save-非通知 / 非通知→時間外切断(Reject)","着信種別=非通知 → 着信拒否（save-非通知→非通知→時間外切断）","","PASS","2026-06-16実機PASS。着信=非通知→save-非通知→非通知→時間外切断(3秒/着信拒否)"
"27","27#","着信電話番号_判定: 固定 / 入力_用件: 健診の予約","通話完了","着信電話番号_判定 ^固定$→冒頭アナウンス / 通常フロー完走","着信種別=固定 → 通常受付（冒頭アナウンス→個人→用件→予約）","","PASS","2026-06-16実機PASS。着信=固定→冒頭アナウンス→個人→用件=健診の予約→予約→通話完了"
