モジュール名,発話テキスト,由来,原資料照合✅
tts_連絡先番号（携帯電話）_retry,"恐れ入りますが再度、ご連絡先は今おかけいただいている「××× ‐ ××× ‐ ×××」でよろしいですか？
「はい、そうです」、または、「いいえ、ちがいます」、でお話しください。",AUTO,
tts_連絡先番号（固定電話）,"ご連絡先のお電話番号をお伺いします。携帯番号または0から始まる市外局番でお話しください。
ダイヤルプッシュでも入力いただけます。
入力が終わりましたら、最後に「こめじるし」を押してください。",AUTO,
tts_連絡先番号（固定電話）_retry,"恐れ入りますが再度、ご連絡先のお電話番号をお伺いします。携帯番号または0から始まる市外局番でお話しください。
ダイヤルプッシュでも入力いただけます。
入力が終わりましたら、最後に「こめじるし」を押してください。",AUTO,
tts_連絡先番号（固定電話）_reconfirm,〇〇ですね。,AUTO(要確認),
tts_終話①（予約・変更・問い合わせ）,"（予約/変更/キャンセル/問い合わせ）の申し込みを受付いたしました。
3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",AUTO,
tts_終話②（キャンセル・問い合わせ）,"（キャンセル/問い合わせ）の申し込みを受付いたしました。
確認事項がある場合のみ3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",AUTO,
tts_リトライ時ガイダンス,"恐れ入りますがご回答が確認できませんでした。今一度おっしゃっていただけますでしょうか。
（質問を繰り返す）",AUTO,
tts_通話切断ガイダンス（代表案内で終話）,"大変申し訳ございません。ご回答をうまく聞き取ることができませんでした。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",AUTO,
tts_受診歴（予約）,ご希望される診療科での受診ははじめてですか？わからない場合は、「わからない。」とお話しください。,AUTO,
tts_受診歴（予約）_retry,恐れ入りますが再度、ご希望される診療科での受診ははじめてですか？わからない場合は、「わからない。」とお話しください。,AUTO,
tts_選定療養費アナウンス（予約）,"他の医療機関からの紹介状をお持ちでない患者様につきましては、
通常の診療費とは別に、初診時選定療養費として7,700円を全額自己負担いただいております。
予めご了承ください。",AUTO,
tts_診療科（予約）,受診を希望される診療科をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_診療科（予約）_retry,恐れ入りますが再度、受診を希望される診療科をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_予約希望日（予約・変更）,ご予約ご希望日をお話しください。ない場合は「ありません。」とお話しください。,AUTO,
tts_予約希望日（予約・変更）_retry,恐れ入りますが再度、ご予約ご希望日をお話しください。ない場合は「ありません。」とお話しください。,AUTO,
tts_診療科（変更・キャンセル）,予約されている診療科をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_診療科（変更・キャンセル）_retry,恐れ入りますが再度、予約されている診療科をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_主治医の先生（変更・キャンセル）,主治医の先生をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_主治医の先生（変更・キャンセル）_retry,恐れ入りますが再度、主治医の先生をお話しください。わからない場合は、「わからない。」とお話しください。,AUTO,
tts_現在の予約日（変更・キャンセル）,現在のご予約日をお話しください。,AUTO,
tts_現在の予約日（変更・キャンセル）_retry,恐れ入りますが再度、現在のご予約日をお話しください。,AUTO,
tts_理由（変更）,変更の理由をお話しください。,AUTO,
tts_理由（変更）_retry,恐れ入りますが再度、変更の理由をお話しください。,AUTO,
tts_理由（キャンセル）,キャンセルの理由をお話しください。,AUTO,
tts_理由（キャンセル）_retry,恐れ入りますが再度、キャンセルの理由をお話しください。,AUTO,
tts_薬処方確認（変更・キャンセル）,"病院からお薬を処方されている方は、「はい、飲んでいます」と、
されていない方は「いいえ、飲んでいません」とお話しください。",AUTO,
tts_薬処方確認（変更・キャンセル）_retry,"恐れ入りますが再度、病院からお薬を処方されている方は、「はい、飲んでいます」と、
されていない方は「いいえ、飲んでいません」とお話しください。",AUTO,
tts_残薬確認（キャンセル）,"残薬について確認をいたします。
残薬がある場合は「はい、あります」、無い場合は「いいえありません」とお話しください。",AUTO,
tts_残薬確認（キャンセル）_retry,"恐れ入りますが再度、残薬について確認をいたします。
残薬がある場合は「はい、あります」、無い場合は「いいえありません」とお話しください。",AUTO,
tts_内容確認（その他お問い合わせ）,お問い合わせ内容をお話しください。,AUTO,
tts_内容確認（その他お問い合わせ）_retry,恐れ入りますが再度、お問い合わせ内容をお話しください。,AUTO,
